id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
356341,1,i," Index 1",1,NULL,1,i_0002.jpg,4916,0,"ii relay recorder selfhosted 1jkr1 rt sr polling closed gb free ex responses it chann ej ili pm",imageBased,NULL,"ii relay recorder selfhosted 1jkr1 rt sr polling closed gb free ex responses it chann ej ili pm"
356342,2,t," Index 2",1,NULL,1,i_0003.jpg,4916,0,"polling closed techsmith relay recorder selfhosted lt channel",imageBased,NULL,"polling closed techsmith relay recorder selfhosted lt channel"
356343,3,t," Index 3",1,NULL,1,i_0004.jpg,4916,2,"polling closed responses channel",imageBased,NULL,"polling closed responses channel"
356344,4,t," Index 4",3,NULL,1,i_0005.jpg,4916,2,"raponsa polling closed responses oil channel powerpoint slide show lecture kanqa oqqoqq olin",imageBased,NULL,"raponsa polling closed responses oil channel powerpoint slide show lecture kanqa oqqoqq olin"
356345,5,t," Index 5",5,NULL,1,i_0006.jpg,4916,2,"recording lj gb free polling closed responses oil channel an fl an pm",imageBased,NULL,"recording lj gb free polling closed responses oil channel an fl an pm"
356346,6,t," Index 6",7,NULL,1,i_0007.jpg,4916,2,"polling closed ooooocai powerpoint slide show lecture ii recording gb free responses channel respornei pm",imageBased,NULL,"polling closed ooooocai powerpoint slide show lecture ii recording gb free responses channel respornei pm"
356347,7,t," Index 7",9,NULL,1,i_0008.jpg,4916,4,"polling closed lt channel",imageBased,NULL,"polling closed lt channel"
356348,8,t," Index 8",13,NULL,1,i_0010.jpg,4916,2,"lii an pm",imageBased,NULL,"lii an pm"
356349,9,t," Index 9",15,NULL,1,i_0011.jpg,4916,12,"stuff clicker points for real start today channel",imageBased,NULL,"stuff clicker points for real start today channel"
356350,10,t," Index 10",27,NULL,1,i_0017.jpg,4916,100,,imageBased,NULL,
356351,11,i," Index 11",127,NULL,2,i_0067.jpg,4916,206,"stuff channel clicker points for real start today channel smartwork grades weve noticed that there can be discrepancy between the grade youve earned on your smartwork5 assignment compared to what youre seeing in your grade report rest assured the smartwork5 grade you earned has been recorded in the system correctly and we are proactively updating the report if you still see problem with your grades after business days please contact norton support",imageBased,NULL,"stuff channel clicker points for real start today channel smartwork grades weve noticed that there can be discrepancy between the grade youve earned on your smartwork5 assignment compared to what youre seeing in your grade report rest assured the smartwork5 grade you earned has been recorded in the system correctly and we are proactively updating the report if you still see problem with your grades after business days please contact norton support"
356352,12,t," Index 12",333,NULL,2,i_0170.jpg,4916,46,"summary parts and organization of metabolism cata bolism na bolism bioenergetics principles free energy ag enthalpy is function structure role of nadh fadh2 nadph entropy iss energy carriers in metabolism gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism fermentation tca cycle emp ed pps pathways catabolism of aromatic compounds channel thermodynamic concepts",imageBased,NULL,"summary parts and organization of metabolism cata bolism na bolism bioenergetics principles free energy ag enthalpy is function structure role of nadh fadh2 nadph entropy iss energy carriers in metabolism gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism fermentation tca cycle emp ed pps pathways catabolism of aromatic compounds channel thermodynamic concepts"
356353,13,t," Index 13",379,NULL,2,i_0193.jpg,4916,4,"1anabolic iathways larger complex organic molecules heat total energy adp p1 energy usable energy catab pathways heat enthalpy ah free energy ag ag ixhtas energy atp tl channel ag ag simpler molecules",imageBased,NULL,"1anabolic iathways larger complex organic molecules heat total energy adp p1 energy usable energy catab pathways heat enthalpy ah free energy ag ag ixhtas energy atp tl channel ag ag simpler molecules"
356354,14,t," Index 14",383,NULL,2,i_0195.jpg,4916,2,"summary parts and organization of metabolism cata bolism na bol channel principles thermodynamic function structure role of energy carriers in metabolism atb nadh fadh2 nadph gain of energybybacteria archaea organotrophy lithotrophy catabolic pathways catabolism emp ed pps pathways fermentation tca cycle catabolism of aromatic compounds bioenergetics free energy ag enthalpy is ntropy iss gi ucose",imageBased,NULL,"summary parts and organization of metabolism cata bolism na bol channel principles thermodynamic function structure role of energy carriers in metabolism atb nadh fadh2 nadph gain of energybybacteria archaea organotrophy lithotrophy catabolic pathways catabolism emp ed pps pathways fermentation tca cycle catabolism of aromatic compounds bioenergetics free energy ag enthalpy is ntropy iss gi ucose"
356355,15,t," Index 15",385,NULL,2,i_0196.jpg,4916,2,"summary parts and organization of metabolism catabolism anabol channel principles thermodynamic function structure role of energy carriers in metabolism nadh fadh2 nadph gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism emp ed pps pathways fermentation tca cycle mounds bioenergetics free energy ag enthalpy is ntropy iss pm",imageBased,NULL,"summary parts and organization of metabolism catabolism anabol channel principles thermodynamic function structure role of energy carriers in metabolism nadh fadh2 nadph gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism emp ed pps pathways fermentation tca cycle mounds bioenergetics free energy ag enthalpy is ntropy iss pm"
356356,16,t," Index 16",387,NULL,2,i_0197.jpg,4916,2,"summary parts and organization of metabolism cata bolism na bolism bioenergetics principles thermodynamic concepts function structure role of energy carriers in metabolism nadh fadh2 nadph gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism fermentation emp ed pps pathways free energy ag enthalpy is ntropy iss tca cycle mounds pm",imageBased,NULL,"summary parts and organization of metabolism cata bolism na bolism bioenergetics principles thermodynamic concepts function structure role of energy carriers in metabolism nadh fadh2 nadph gain of energy by bacteria archaea organotrophy lithotrophy catabolic pathways glucose catabolism fermentation emp ed pps pathways free energy ag enthalpy is ntropy iss tca cycle mounds pm"
356357,17,t," Index 17",389,NULL,2,i_0198.jpg,4916,6,"catab pathways energy larger complex molecules adp p1 energy iatp total energy usable energy unusable energy heat enthalpy ah free energy ag entropy 1anabolic heat ag ixhtas simpler molecules1 ag ag",imageBased,NULL,"catab pathways energy larger complex molecules adp p1 energy iatp total energy usable energy unusable energy heat enthalpy ah free energy ag entropy 1anabolic heat ag ixhtas simpler molecules1 ag ag"
356358,18,i," Index 18",395,NULL,3,i_0201.jpg,4916,746,"larger complex catabolism atp respiration organic adp p1 energy heat 1anabolic iathways total energy enthalpy ah free energy ag to pathways heat energy tas simpler molewles1 c6h1 usable energy xunusableenergy entropy ag ag redox reactions 6c02 si 6h20",imageBased,NULL,"larger complex catabolism atp respiration organic adp p1 energy heat 1anabolic iathways total energy enthalpy ah free energy ag to pathways heat energy tas simpler molewles1 c6h1 usable energy xunusableenergy entropy ag ag redox reactions 6c02 si 6h20"
