id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
368606,1,i," Index 1",1,NULL,1,i_0002.jpg,5063,0,"polling closed relay recorder selfhosted zj gb free lj responses ill channel eel pm",imageBased,NULL,"polling closed relay recorder selfhosted zj gb free lj responses ill channel eel pm"
368607,2,t," Index 2",1,NULL,1,i_0003.jpg,5063,12,"polling closed it channel",imageBased,NULL,"polling closed it channel"
368608,3,t," Index 3",13,NULL,1,i_0010.jpg,5063,4,"polling closed removable disk home share cut copy path paste shortcut clipboard this pc drive tools view manage thispc 4a moveto to removable disk fi new folder videos windows8os removable disk items fseventsd ii pm1 file0 copy paste delete rename organize responses dl channel new name fseventsd spotlightv1 turningpoint mac turningpoint pc desktop documents downloads music pictures date modified pm pm pm am",imageBased,NULL,"polling closed removable disk home share cut copy path paste shortcut clipboard this pc drive tools view manage thispc 4a moveto to removable disk fi new folder videos windows8os removable disk items fseventsd ii pm1 file0 copy paste delete rename organize responses dl channel new name fseventsd spotlightv1 turningpoint mac turningpoint pc desktop documents downloads music pictures date modified pm pm pm am"
368609,4,t," Index 4",17,NULL,1,i_0012.jpg,5063,2,"polling closed removable disk documents downloads music items videos windows8os removable disk fseventsd home drive tools share copy paste view manage move to delete toe rename copy path paste shortcut clipboard new folder responses thispc it this pc desktop channel organize new removable disk name fseventsd spotlightv1 turningpoint mac turningpoint pc date modified pictures pm pm pm pm",imageBased,NULL,"polling closed removable disk documents downloads music items videos windows8os removable disk fseventsd home drive tools share copy paste view manage move to delete toe rename copy path paste shortcut clipboard new folder responses thispc it this pc desktop channel organize new removable disk name fseventsd spotlightv1 turningpoint mac turningpoint pc date modified pictures pm pm pm pm"
368610,5,t," Index 5",19,NULL,1,i_0013.jpg,5063,2,"properties select none removable disk turningpoint pc sear he items downloads music pictures videos pm fik share turning point pc view eel copy paste copy path move to delete paste shortcut clipboard new folder open select all organize edit this pc new history invert selection open select name windows8os removable disk date modified fseventsd spotlightv1 application backup sessions content gpucache repositories schemes sessions 1j point turningpointexeconfig turningpoint mac turningpoint pc pm pm pm pm",imageBased,NULL,"properties select none removable disk turningpoint pc sear he items downloads music pictures videos pm fik share turning point pc view eel copy paste copy path move to delete paste shortcut clipboard new folder open select all organize edit this pc new history invert selection open select name windows8os removable disk date modified fseventsd spotlightv1 application backup sessions content gpucache repositories schemes sessions 1j point turningpointexeconfig turningpoint mac turningpoint pc pm pm pm pm"
368611,6,t," Index 6",21,NULL,1,i_0014.jpg,5063,6,"ocr running error",imageBased,NULL,"ocr running error"
368612,7,t," Index 7",27,NULL,1,i_0017.jpg,5063,2,"cj th ea1c0 r1 sctumrng point tr1jih1dtidhs powerpoint turningpoint hello richard knapp not richard sign out uhninj continue v8523 en",imageBased,NULL,"cj th ea1c0 r1 sctumrng point tr1jih1dtidhs powerpoint turningpoint hello richard knapp not richard sign out uhninj continue v8523 en"
368613,8,t," Index 8",29,NULL,1,i_0018.jpg,5063,2,"rn il tumingpoint dashboard 0i ii th lj fl pm 228zofl",imageBased,NULL,"rn il tumingpoint dashboard 0i ii th lj fl pm 228zofl"
368614,9,t," Index 9",31,NULL,1,i_0019.jpg,5063,2,"deliver interacbve presentatkins poll with any application floating loolbar polling turningpoint dashboard anonymous manage receiver 9sp0671 2b10l3332elementary microbiolo zu t4biul ih 2fllql rifli vir2 0fi7241 9sp 10288b 10l3332elementary microbiolo turningpoint content richard knapp powerpoint feedback polling mobile responses enable ii polling selfpaced polling start now your pace video tutorial video tutorial video tutorial 1j turn lng",imageBased,NULL,"deliver interacbve presentatkins poll with any application floating loolbar polling turningpoint dashboard anonymous manage receiver 9sp0671 2b10l3332elementary microbiolo zu t4biul ih 2fllql rifli vir2 0fi7241 9sp 10288b 10l3332elementary microbiolo turningpoint content richard knapp powerpoint feedback polling mobile responses enable ii polling selfpaced polling start now your pace video tutorial video tutorial video tutorial 1j turn lng"
368615,10,t," Index 10",33,NULL,1,i_0020.jpg,5063,4,"poihngf responses channel 2282olo powerpoint mm",imageBased,NULL,"poihngf responses channel 2282olo powerpoint mm"
