id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
308119,1,i," Index 1",1,NULL,1,i_0002.jpg,4653,0,"neuroexamlpdf reader firgooci bro quick p1 reaip am i1 oqpj0 423bog8tree filewcusersjziburkudesktopfneuro2oexam201pdf techsmith relay recorder selfhosted th neuro exam fail avg high low type here to search",imageBased,NULL,"neuroexamlpdf reader firgooci bro quick p1 reaip am i1 oqpj0 423bog8tree filewcusersjziburkudesktopfneuro2oexam201pdf techsmith relay recorder selfhosted th neuro exam fail avg high low type here to search"
308120,2,t," Index 2",1,NULL,1,i_0003.jpg,4653,0,"neuroexamlpdf avg 6o 1138am of high low neuro exam fail ii type here to search",imageBased,NULL,"neuroexamlpdf avg 6o 1138am of high low neuro exam fail ii type here to search"
308121,3,t," Index 3",1,NULL,1,i_0004.jpg,4653,2,"neuro09 neurotransmissiori x1 2018fa15513b1ol4315 neuroscience course content email discussions tools course management control panel content collection course tools evaluation grade center users and groups customization help what is the backpropagating spike 1138am university of houston us 84i courseid course content lecture notes neuro09 neurotrarisiiiissioii jokubasziburkus universityof houston home library writing center launch tutoring content collection uh edit mode is neuro09 neurotransmission if this item does not open automatically you can open neuro09 neurotransmission here backpropagating spike nhthitory somatic neurotransmission excitatory dendritic eurotransmission type hereto search why clini ii fl wf arch it it",imageBased,NULL,"neuro09 neurotransmissiori x1 2018fa15513b1ol4315 neuroscience course content email discussions tools course management control panel content collection course tools evaluation grade center users and groups customization help what is the backpropagating spike 1138am university of houston us 84i courseid course content lecture notes neuro09 neurotrarisiiiissioii jokubasziburkus universityof houston home library writing center launch tutoring content collection uh edit mode is neuro09 neurotransmission if this item does not open automatically you can open neuro09 neurotransmission here backpropagating spike nhthitory somatic neurotransmission excitatory dendritic eurotransmission type hereto search why clini ii fl wf arch it it"
308122,4,t," Index 4",3,NULL,1,i_0005.jpg,4653,2,"neuro09 neurotransmission jokubaszib4jrkus universityof houston home library writing center launch tutoring content collection uh 2018fa15513bl0l4315 neuroscience course content email discussions tools course management control panel content collection course tools evaluation grade center users and groups customization help what is the backpropagating spike fl fl it it type hereto search university of houston us 84i courseid course content lecture notes neuro09 neurotransniissiii neuro09 neurotransmission if this item does not open automatically you can open neuro09 rotransmission here edit mode is inhthitory somatic neurotransmission excitatory dendritic eurotransmission fl 1138am",imageBased,NULL,"neuro09 neurotransmission jokubaszib4jrkus universityof houston home library writing center launch tutoring content collection uh 2018fa15513bl0l4315 neuroscience course content email discussions tools course management control panel content collection course tools evaluation grade center users and groups customization help what is the backpropagating spike fl fl it it type hereto search university of houston us 84i courseid course content lecture notes neuro09 neurotransniissiii neuro09 neurotransmission if this item does not open automatically you can open neuro09 rotransmission here edit mode is inhthitory somatic neurotransmission excitatory dendritic eurotransmission fl 1138am"
308123,5,t," Index 5",5,NULL,1,i_0006.jpg,4653,4,"neuro09 neurotransmission backpropagating spike excitatory dendritic neurotransmission 1138am slide university of houston us httpselearninguhedubbcswebdavpid50281 83biol431 5i 3neuro09neur generation of aps axon initiation zone orthodromic and li ii somatic neurotransmission what is the backpropagating spike type here to search",imageBased,NULL,"neuro09 neurotransmission backpropagating spike excitatory dendritic neurotransmission 1138am slide university of houston us httpselearninguhedubbcswebdavpid50281 83biol431 5i 3neuro09neur generation of aps axon initiation zone orthodromic and li ii somatic neurotransmission what is the backpropagating spike type here to search"
308124,6,i," Index 6",9,NULL,2,i_0008.jpg,4653,408,"neuroo9 neurotransmissfon slide 1139am university of houston usj generation of apsi axon initiation zone orthodromic and backpropagating spike somatic neurotransmission excitatory dendritic eurotransmission what is the backpropagating spike type here to search",imageBased,NULL,"neuroo9 neurotransmissfon slide 1139am university of houston usj generation of apsi axon initiation zone orthodromic and backpropagating spike somatic neurotransmission excitatory dendritic eurotransmission what is the backpropagating spike type here to search"
308125,7,t," Index 7",417,NULL,2,i_0212.jpg,4653,2,"of houton fljsj 1can nthd3352a695co generation of aps axon initiation zone orthodromic and backpropagating spike excitatory dendritic neurotransmission 1145am forward inhthitory somatic neurotransmission type here to search what is the backpropagating spike",imageBased,NULL,"of houton fljsj 1can nthd3352a695co generation of aps axon initiation zone orthodromic and backpropagating spike excitatory dendritic neurotransmission 1145am forward inhthitory somatic neurotransmission type here to search what is the backpropagating spike"
308126,8,t," Index 8",419,NULL,2,i_0213.jpg,4653,2,"of houtcin jus generation of aps axon initiation zone orthodromic and backpropagating spike na111 neurotransmisslon excitatoiy dendritic neurotransmissfon forward inhibitory somatic type here to search",imageBased,NULL,"of houtcin jus generation of aps axon initiation zone orthodromic and backpropagating spike na111 neurotransmisslon excitatoiy dendritic neurotransmissfon forward inhibitory somatic type here to search"
308127,9,t," Index 9",421,NULL,2,i_0214.jpg,4653,22,"of houton jljsj generation of aps axon initiation zone orthodromic and backpropagating spike 1type here to search excitatory back propagating ap 1145am forward propagating ap fl inhibitory somatic neurotransmission",imageBased,NULL,"of houton jljsj generation of aps axon initiation zone orthodromic and backpropagating spike 1type here to search excitatory back propagating ap 1145am forward propagating ap fl inhibitory somatic neurotransmission"
308128,10,t," Index 10",443,NULL,2,i_0225.jpg,4653,2,"generation of aps axon initiation zone orthodromic and backpropagating spike slide of houton jus co libiola3i 5i forward propagahng ap back propagating ap inhibitory somatic neurotransmission type here to search excitatory neurotransmission 1146am",imageBased,NULL,"generation of aps axon initiation zone orthodromic and backpropagating spike slide of houton jus co libiola3i 5i forward propagahng ap back propagating ap inhibitory somatic neurotransmission type here to search excitatory neurotransmission 1146am"
