id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
338325,1,i," Index 1",1,NULL,1,i_0002.jpg,4853,0,"room or by appt hedu its in the syllabus welcome to biol relay recorder selfhosted iiiiiii gb free ii questions regarding course pseudomonas aeruginosa iii rr pm",imageBased,NULL,"room or by appt hedu its in the syllabus welcome to biol relay recorder selfhosted iiiiiii gb free ii questions regarding course pseudomonas aeruginosa iii rr pm"
338326,2,t," Index 2",1,NULL,1,i_0003.jpg,4853,0,"welcome to biol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus pseudomonas aeruginosa",imageBased,NULL,"welcome to biol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus pseudomonas aeruginosa"
338327,3,t," Index 3",1,NULL,1,i_0004.jpg,4853,4,"welcome to biol dr knapp office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus stlbuiidin room pseudomonas aeruginosa",imageBased,NULL,"welcome to biol dr knapp office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus stlbuiidin room pseudomonas aeruginosa"
338328,4,t," Index 4",5,NULL,1,i_0006.jpg,4853,2,"iii misvri pm pseudomonas ae rugi nosa welcome to biol kc 4k ic li ieciizmilii ilding room 301230am or by appt k11011111111 ui gbfree questions regarding course its in the syllabus",imageBased,NULL,"iii misvri pm pseudomonas ae rugi nosa welcome to biol kc 4k ic li ieciizmilii ilding room 301230am or by appt k11011111111 ui gbfree questions regarding course its in the syllabus"
338329,5,i," Index 5",7,NULL,2,i_0007.jpg,4853,292,"welcome to biol dr knapp stl building room email rdknapp uhedu questions regarding course its in the syllabus office hrs mw or by appt pse domonas aeruginosa",imageBased,NULL,"welcome to biol dr knapp stl building room email rdknapp uhedu questions regarding course its in the syllabus office hrs mw or by appt pse domonas aeruginosa"
338330,6,i," Index 6",299,NULL,3,i_0153.jpg,4853,44,"welco to lol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu this course is open can add until tuesday jan 22nd questions regarding course pseudomonas aeruginosa its in the syllabus pm",imageBased,NULL,"welco to lol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu this course is open can add until tuesday jan 22nd questions regarding course pseudomonas aeruginosa its in the syllabus pm"
338331,7,t," Index 7",343,NULL,3,i_0175.jpg,4853,84,"welcome to biol dr knapp stl building room office hrs mw email rdknapp uhedu or by appt this course is open can add until tuesday jan 22nid biol labs concurrent enrollment in lab is lab closed section request form stl108 questions regarding course pseudomonas aeruginosa its in the syllabus required want in full not waitlist and cr fill out",imageBased,NULL,"welcome to biol dr knapp stl building room office hrs mw email rdknapp uhedu or by appt this course is open can add until tuesday jan 22nid biol labs concurrent enrollment in lab is lab closed section request form stl108 questions regarding course pseudomonas aeruginosa its in the syllabus required want in full not waitlist and cr fill out"
338332,8,t," Index 8",427,NULL,3,i_0217.jpg,4853,52,"welcome to biol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus this course is open can add until tuesday jan 22nid biol labs concurrent enrollment in lab is not required want in full lab waitlist and br fill out closed section request form stl108 uh email blocks consult uhit in the md anderson library basement rm httpwwwuheduinfotechservicesaccountsemail pseudomonas aeruginosa",imageBased,NULL,"welcome to biol dr knapp stl building room office hrs mw or by appt email rdknapp uhedu questions regarding course its in the syllabus this course is open can add until tuesday jan 22nid biol labs concurrent enrollment in lab is not required want in full lab waitlist and br fill out closed section request form stl108 uh email blocks consult uhit in the md anderson library basement rm httpwwwuheduinfotechservicesaccountsemail pseudomonas aeruginosa"
338333,9,t," Index 9",479,NULL,3,i_0243.jpg,4853,70,"syllabus sw final grades exams 4quizzes 5smartworkclickers quizzes on blackboard calculating your grade",imageBased,NULL,"syllabus sw final grades exams 4quizzes 5smartworkclickers quizzes on blackboard calculating your grade"
338334,10,t," Index 10",549,NULL,3,i_0278.jpg,4853,92,"syllabus sw exams of casa testing centers scheduler garrison221 aah cbb missed exam notify me asap within hrs final grades exams 4quizzes 5smartworkclickers quizzes on blackboard calculating your grade extra credit tied to clicker scores",imageBased,NULL,"syllabus sw exams of casa testing centers scheduler garrison221 aah cbb missed exam notify me asap within hrs final grades exams 4quizzes 5smartworkclickers quizzes on blackboard calculating your grade extra credit tied to clicker scores"
338335,11,i," Index 11",641,NULL,4,i_0324.jpg,4853,40,"syllabus sw casa testing centers garrison221 aah cbb notify me asap within hrs exams quizzes on blackboard calculating your grade extra credit tied to blackboard textbook izzes 5smartworkclickers clicker scores exams lof scheduler missed exam finaigrades 4qu micro biology microbiology an evolving science 4th ed by slonczewski foster an evolving science",imageBased,NULL,"syllabus sw casa testing centers garrison221 aah cbb notify me asap within hrs exams quizzes on blackboard calculating your grade extra credit tied to blackboard textbook izzes 5smartworkclickers clicker scores exams lof scheduler missed exam finaigrades 4qu micro biology microbiology an evolving science 4th ed by slonczewski foster an evolving science"
338336,12,t," Index 12",681,NULL,4,i_0344.jpg,4853,4,"smartwork assignments an online platform its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here",imageBased,NULL,"smartwork assignments an online platform its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here"
338337,13,t," Index 13",685,NULL,4,i_0346.jpg,4853,2,"assignments an online platform to provide homework its free registration information ai on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here il smartwork pr site are",imageBased,NULL,"assignments an online platform to provide homework its free registration information ai on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here il smartwork pr site are"
338338,14,t," Index 14",687,NULL,4,i_0347.jpg,4853,2,"smartwork assignments an online platform to provide its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here",imageBased,NULL,"smartwork assignments an online platform to provide its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here"
338339,15,t," Index 15",689,NULL,4,i_0348.jpg,4853,34,"smartwork assignments its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here an online platform to provide homework",imageBased,NULL,"smartwork assignments its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here an online platform to provide homework"
338340,16,t," Index 16",723,NULL,4,i_0365.jpg,4853,2,"smartwork assignments an online platform to provide homework its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here",imageBased,NULL,"smartwork assignments an online platform to provide homework its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here"
338341,17,t," Index 17",725,NULL,4,i_0366.jpg,4853,60,"smartwork assignments an online platform to provide homework its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here smartwork5 registration nstructions includes student set id number link to smartwork otherdigital resources this link takes you to the textbook publishers 0digital landing page where you can access the as well as access the ebook and animations you can also purchase the ebook andor smar smartwork assignments due dates",imageBased,NULL,"smartwork assignments an online platform to provide homework its free registration information and link to the site are on blackboard smartworkhomeworkmaterial web link to digital site registration information assignments and due dates are found in here smartwork5 registration nstructions includes student set id number link to smartwork otherdigital resources this link takes you to the textbook publishers 0digital landing page where you can access the as well as access the ebook and animations you can also purchase the ebook andor smar smartwork assignments due dates"
338342,18,t," Index 18",785,NULL,4,i_0396.jpg,4853,86,"blackboard quizzes availability item is hidden from smartwork homework material web link to digital site registration information assignments and biol elementary microbiology section spring video lectures searcn in lectures to all unit material no lecture name content study tips for success in biology courses 9spbiol3332j67 12profiletest blackboard spi9 biol syllabus attached files syil con ept maps exam distributions uh organizational meeting flyers exam quiz dates turning point clickers material registration link and clicker support material are found in here",imageBased,NULL,"blackboard quizzes availability item is hidden from smartwork homework material web link to digital site registration information assignments and biol elementary microbiology section spring video lectures searcn in lectures to all unit material no lecture name content study tips for success in biology courses 9spbiol3332j67 12profiletest blackboard spi9 biol syllabus attached files syil con ept maps exam distributions uh organizational meeting flyers exam quiz dates turning point clickers material registration link and clicker support material are found in here"
338343,19,t," Index 19",871,NULL,4,i_0439.jpg,4853,24,"clickers aka student response pads turningpolnt account registration new clicker requires turning account subscription registration information httpwwwuheduclicker turn ing point clickers ate rial registration link and clicker support material are found in here link to clicker and mobile app help contains all information related to turning point registration usage mobile devices and handheld clickers",imageBased,NULL,"clickers aka student response pads turningpolnt account registration new clicker requires turning account subscription registration information httpwwwuheduclicker turn ing point clickers ate rial registration link and clicker support material are found in here link to clicker and mobile app help contains all information related to turning point registration usage mobile devices and handheld clickers"
338344,20,t," Index 20",895,NULL,4,i_0451.jpg,4853,50,"clickers aka student response pads turn ng point clickers mate rial registration link and clicker support material are found in here registration ljnktochcker and mobile app help contains all information related to turning point registration usage mobile devices and handheld clickers new clicker requires turning account subscription registration information httpwwwuheduclicker previous users account info is copied from prior semester log in to see you have green check marks may need to purchase license if you have already purchased clicker you still need to purchase subscription subscription good for one year",imageBased,NULL,"clickers aka student response pads turn ng point clickers mate rial registration link and clicker support material are found in here registration ljnktochcker and mobile app help contains all information related to turning point registration usage mobile devices and handheld clickers new clicker requires turning account subscription registration information httpwwwuheduclicker previous users account info is copied from prior semester log in to see you have green check marks may need to purchase license if you have already purchased clicker you still need to purchase subscription subscription good for one year"
