id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
361753,1,i," Index 1",1,NULL,1,i_0002.jpg,5030,0,"techsmith relay recorder selfhosted jie gb free iii pm",imageBased,NULL,"techsmith relay recorder selfhosted jie gb free iii pm"
361754,2,t," Index 2",1,NULL,1,i_0003.jpg,5030,0,"gb free relay recorder selfhosted",imageBased,NULL,"gb free relay recorder selfhosted"
361755,3,i," Index 3",1,NULL,2,i_0004.jpg,5030,376,"ocr running error",imageBased,NULL,"ocr running error"
361756,4,i," Index 4",377,NULL,3,i_0192.jpg,5030,164,"channel ch part fu tb of ele tro tra sp rt sys te respiration relies on an electron transport system ets that enables microbe to store energy as proton motive force pm that is used for cellular work",imageBased,NULL,"channel ch part fu tb of ele tro tra sp rt sys te respiration relies on an electron transport system ets that enables microbe to store energy as proton motive force pm that is used for cellular work"
361757,5,t," Index 5",541,NULL,3,i_0274.jpg,5030,14,channel,imageBased,NULL,channel
361758,6,t," Index 6",555,NULL,3,i_0281.jpg,5030,36,"spectatzed appendages or electron transfer channel geobacter bacteria",imageBased,NULL,"spectatzed appendages or electron transfer channel geobacter bacteria"
361759,7,i," Index 7",591,NULL,4,i_0299.jpg,5030,280,"specialized appendages for electron transfer channel geobacter bacteria interspecies electron transfer co no acetate geobacter nh4 let si co2 h4",imageBased,NULL,"specialized appendages for electron transfer channel geobacter bacteria interspecies electron transfer co no acetate geobacter nh4 let si co2 h4"
361760,8,i," Index 8",871,NULL,5,i_0439.jpg,5030,10,"channel cell membrane outside inside",imageBased,NULL,"channel cell membrane outside inside"
361761,9,t," Index 9",881,NULL,5,i_0444.jpg,5030,188,"channel electron transport syste outside cell membrane inside",imageBased,NULL,"channel electron transport syste outside cell membrane inside"
361762,10,i," Index 10",1069,NULL,6,i_0538.jpg,5030,238,"channel electron transport system atpase outside cell membrane inside electron terminal nad sou rcereduced acceptorreduced terminal electron acce nad sou rceoxidized oxid if aerobic if anaerobic no3 s032 or other 2e",imageBased,NULL,"channel electron transport system atpase outside cell membrane inside electron terminal nad sou rcereduced acceptorreduced terminal electron acce nad sou rceoxidized oxid if aerobic if anaerobic no3 s032 or other 2e"
361763,11,i," Index 11",1307,NULL,7,i_0657.jpg,5030,264,"channel ne reduction potential accept electrons more negative value strong electron donor weak more positive value strong reduction potentials electron acceptor electron donor ptor co2 4e shr fad 2h 2e to represents the tendency of measured in millivolts molecule acce electron acceptor redox couples 02h20 2wh2 mvh ch2o nadhh h2 co2 2h 3h2 2e ioh 8r 2w 2e glucose 220c 2w fmn2h2e menaquinone 2h ch42h20 h2s 4h20 fadh2 fmnh2 menaquinol h20 h2 fumarate 2h 2r 2e 2w h20 libiquinone 2k 2e ubiquinol no 2r n02 h20 no8h6r nh42h20 mn02 4k 2e mn2 no6h5r fe3 fe2 at ph is proportional to the reduction potential nfe",imageBased,NULL,"channel ne reduction potential accept electrons more negative value strong electron donor weak more positive value strong reduction potentials electron acceptor electron donor ptor co2 4e shr fad 2h 2e to represents the tendency of measured in millivolts molecule acce electron acceptor redox couples 02h20 2wh2 mvh ch2o nadhh h2 co2 2h 3h2 2e ioh 8r 2w 2e glucose 220c 2w fmn2h2e menaquinone 2h ch42h20 h2s 4h20 fadh2 fmnh2 menaquinol h20 h2 fumarate 2h 2r 2e 2w h20 libiquinone 2k 2e ubiquinol no 2r n02 h20 no8h6r nh42h20 mn02 4k 2e mn2 no6h5r fe3 fe2 at ph is proportional to the reduction potential nfe"
361764,12,i," Index 12",1571,NULL,8,i_0789.jpg,5030,160,"channel redox couple 02h20 82omv",imageBased,NULL,"channel redox couple 02h20 82omv"
361765,13,t," Index 13",1731,NULL,8,i_0869.jpg,5030,190,"on cd cd cd cd cd cd cd ii ii cd cd ij cd cd cd cd cd",imageBased,NULL,"on cd cd cd cd cd cd cd ii ii cd cd ij cd cd cd cd cd"
361766,14,i," Index 14",1921,NULL,9,i_0964.jpg,5030,92,"channel reversibility of reaction redox couple effect on reduction potential mv",imageBased,NULL,"channel reversibility of reaction redox couple effect on reduction potential mv"
361767,15,t," Index 15",2013,NULL,9,i_1010.jpg,5030,18,"channel reversibility of reaction effect on reduction potential redox couple mv 2h 2e nadh mv zig nadh 2h mv zig metabolism combines redox couples strong electron donors with strong electron acceptors yields release of energy electron donor oxidized nadh 2h 2e mv",imageBased,NULL,"channel reversibility of reaction effect on reduction potential redox couple mv 2h 2e nadh mv zig nadh 2h mv zig metabolism combines redox couples strong electron donors with strong electron acceptors yields release of energy electron donor oxidized nadh 2h 2e mv"
361768,16,t," Index 16",2031,NULL,9,i_1019.jpg,5030,84,"channel reversibility of reaction effect on reduction potential redox couple mv 2h 2e nadh mv zig nadh 2h mv zig metabolism combines redox couples strong electron donors with strong electron acceptors yields release of energy electron donor oxidized nadh 2h 2e mv electron acceptor reduced 2e 2h h20 mv nadh h20 mv kimol etc",imageBased,NULL,"channel reversibility of reaction effect on reduction potential redox couple mv 2h 2e nadh mv zig nadh 2h mv zig metabolism combines redox couples strong electron donors with strong electron acceptors yields release of energy electron donor oxidized nadh 2h 2e mv electron acceptor reduced 2e 2h h20 mv nadh h20 mv kimol etc"
361769,17,t," Index 17",2115,NULL,9,i_1061.jpg,5030,36,"channel clicker questions",imageBased,NULL,"channel clicker questions"
361770,18,t," Index 18",2151,NULL,9,i_1079.jpg,5030,2,"clicker questions polling closed if",imageBased,NULL,"clicker questions polling closed if"
361771,19,t," Index 19",2153,NULL,9,i_1080.jpg,5030,6,"clicker questions l1",imageBased,NULL,"clicker questions l1"
361772,20,t," Index 20",2159,NULL,9,i_1083.jpg,5030,2,"questions rrjj lc 1l polling closed ii",imageBased,NULL,"questions rrjj lc 1l polling closed ii"
361773,21,t," Index 21",2161,NULL,9,i_1084.jpg,5030,2,"tia pm polling closed",imageBased,NULL,"tia pm polling closed"
361774,22,t," Index 22",2163,NULL,9,i_1085.jpg,5030,2,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil intestine esophagus reilculum c1",imageBased,NULL,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil intestine esophagus reilculum c1"
361775,23,t," Index 23",2165,NULL,9,i_1086.jpg,5030,2,"clicker questions",imageBased,NULL,"clicker questions"
361776,24,t," Index 24",2167,NULL,9,i_1087.jpg,5030,2,"clicker questions microsoft powerpoint want to keep your ink annotations qiscard",imageBased,NULL,"clicker questions microsoft powerpoint want to keep your ink annotations qiscard"
361777,25,t," Index 25",2169,NULL,9,i_1088.jpg,5030,2,"ocr running error",imageBased,NULL,"ocr running error"
361778,26,t," Index 26",2171,NULL,9,i_1089.jpg,5030,2,"show taskbar end slide show swap presenter view and slide show slide show next slide the cows rumen surface layer of soil slide of no notes pm clicker questions 0e where is the greater more positive reduction potential likely to be h1 in",imageBased,NULL,"show taskbar end slide show swap presenter view and slide show slide show next slide the cows rumen surface layer of soil slide of no notes pm clicker questions 0e where is the greater more positive reduction potential likely to be h1 in"
361779,27,t," Index 27",2173,NULL,9,i_1090.jpg,5030,2,"show taskbar next slide display 5e11ings end slide show ii pm clicker questions where is the greater more positive reduction potential likely to be h1 the cows rumen surface layer of soil no slide of",imageBased,NULL,"show taskbar next slide display 5e11ings end slide show ii pm clicker questions where is the greater more positive reduction potential likely to be h1 the cows rumen surface layer of soil no slide of"
361780,28,t," Index 28",2175,NULL,9,i_1091.jpg,5030,6,"clicker questions polling closed responses cdlii",imageBased,NULL,"clicker questions polling closed responses cdlii"
361781,29,t," Index 29",2181,NULL,9,i_1094.jpg,5030,2,"clicker questions ii llu choice responses",imageBased,NULL,"clicker questions ii llu choice responses"
361782,30,t," Index 30",2183,NULL,9,i_1095.jpg,5030,18,"where is the greater more positive reduction potential likely to be surface layer of soil c1 multiple choice responses intestine esophagus reilculum",imageBased,NULL,"where is the greater more positive reduction potential likely to be surface layer of soil c1 multiple choice responses intestine esophagus reilculum"
361783,31,t," Index 31",2201,NULL,9,i_1104.jpg,5030,48,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil multiple choice responses odli sq abomasum omasum",imageBased,NULL,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil multiple choice responses odli sq abomasum omasum"
361784,32,t," Index 32",2249,NULL,9,i_1128.jpg,5030,2,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil multiple choice responses ii odli sq",imageBased,NULL,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil multiple choice responses ii odli sq"
361785,33,t," Index 33",2251,NULL,9,i_1129.jpg,5030,20,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil countdown timer i1e111e1ij ii nses",imageBased,NULL,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil countdown timer i1e111e1ij ii nses"
361786,34,t," Index 34",2271,NULL,9,i_1139.jpg,5030,2,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil countdown timer olce x0 responses aborn",imageBased,NULL,"where is the greater more positive reduction potential likely to be the cows rumen surface layer of soil countdown timer olce x0 responses aborn"
