Word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile
WTechSmith,18,Helvetica,b,202,199,337,225,40,7,6,7,i_0002.jpg 
Relay,18,Helvetica,b,346,204,399,226,210,8,6,7,i_0002.jpg 
Recorder,18,Helvetica,b,407,204,497,221,210,9,6,7,i_0002.jpg 
SelfHosted,18,Helvetica,b,505,204,635,225,205,10,6,7,i_0002.jpg 
GB,14,Helvetica,r,335,421,354,433,201,12,7,8,i_0002.jpg 
free,14,Helvetica,r,360,420,386,433,200,13,7,8,i_0002.jpg 
PM,14,Helvetica,r,1866,1034,1889,1047,210,17,10,11,i_0002.jpg 
TechSmith,16,Helvetica,r,357,332,446,346,43,1,0,0,i_0003.jpg 
Relay,16,Helvetica,r,454,332,499,351,210,2,0,0,i_0003.jpg 
Recorder,16,Helvetica,r,506,332,583,346,209,3,0,0,i_0003.jpg 
SelfHosted,16,Helvetica,r,589,332,700,350,205,4,0,0,i_0003.jpg 
GB,12,Helvetica,b,444,517,460,527,31,15,1,3,i_0003.jpg 
free,13,HelveticaCentury,r,466,516,488,527,209,16,1,3,i_0003.jpg 
Channel,25,HelveticaCentury,r,1740,98,1848,121,222,0,0,0,i_0004.jpg 
ojjj,34,HelveticaCentury,r,1537,43,1681,122,218,0,0,0,i_0033.jpg 
Channel,35,HelveticaCentury,r,1427,138,1579,171,219,1,0,1,i_0033.jpg 
Upcoming,34,HelveticaCentury,r,623,56,819,96,210,0,0,0,i_0066.jpg 
Schedule,34,HelveticaCentury,r,832,55,1008,87,208,1,0,0,i_0066.jpg 
next,34,HelveticaCentury,r,1050,59,1133,87,211,2,0,0,i_0066.jpg 
weeks,34,HelveticaCentury,r,1181,55,1304,87,211,4,0,0,i_0066.jpg 
CHAPTER,34,HelveticaCentury,r,627,151,808,180,206,5,0,1,i_0066.jpg 
Unjt,34,HelveticaCentury,r,1059,147,1187,180,130,6,0,1,i_0066.jpg 
Material,34,HelveticaCentury,r,1238,148,1401,180,192,8,0,1,i_0066.jpg 
Channel,35,HelveticaCentury,r,1427,138,1579,171,212,9,0,1,i_0066.jpg 
1r,17,Times,i,424,262,466,278,29,12,2,3,i_0066.jpg 
ri,20,HelveticaCentury,r,1217,266,1238,278,36,28,5,6,i_0066.jpg 
1J,7,Helvetica,r,860,368,893,384,26,80,13,15,i_0066.jpg 
ILLI,8,Helvetica,r,1080,365,1152,378,32,83,14,17,i_0066.jpg 
to,34,HelveticaCentury,r,1282,369,1322,397,46,84,15,18,i_0066.jpg 
Tues,34,HelveticaCentury,r,423,463,538,505,148,86,17,20,i_0066.jpg 
CH,34,HelveticaCentury,r,627,467,678,497,180,87,18,21,i_0066.jpg 
Part,34,HelveticaCentury,r,767,467,843,497,212,89,18,21,i_0066.jpg 
CH,34,HelveticaCentury,r,905,467,956,497,177,91,18,21,i_0066.jpg 
Bacterial,34,HelveticaCentury,r,1033,464,1202,497,205,93,18,21,i_0066.jpg 
Growth,34,HelveticaCentury,r,1218,464,1363,497,212,94,18,21,i_0066.jpg 
Thur,34,HelveticaCentury,r,423,564,540,607,146,96,19,22,i_0066.jpg 
CH,34,HelveticaCentury,r,627,568,678,598,177,97,20,23,i_0066.jpg 
Bacterial,34,HelveticaCentury,r,755,566,924,598,206,99,20,23,i_0066.jpg 
Growth,34,HelveticaCentury,r,939,566,1085,598,213,100,20,23,i_0066.jpg 
