id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
356950,1,i," Index 1",1,NULL,1,i_0002.jpg,4954,0,"iila polling closed ill responses techsmith relay recorder selfhosted gb free dod ii channel pm",imageBased,NULL,"iila polling closed ill responses techsmith relay recorder selfhosted gb free dod ii channel pm"
356951,2,t," Index 2",1,NULL,1,i_0003.jpg,4954,0,"iii techsmith relay recorder self hosted llj1t polling closed vrfii it channel il responses ri la pm",imageBased,NULL,"iii techsmith relay recorder self hosted llj1t polling closed vrfii it channel il responses ri la pm"
356952,3,t," Index 3",1,NULL,1,i_0004.jpg,4954,12,"ez 2l polling closed responses channel ili",imageBased,NULL,"ez 2l polling closed responses channel ili"
356953,4,t," Index 4",13,NULL,1,i_0010.jpg,4954,18,"polling closed responses channel hon",imageBased,NULL,"polling closed responses channel hon"
356954,5,t," Index 5",31,NULL,1,i_0019.jpg,4954,2,"polling cic chann 1j",imageBased,NULL,"polling cic chann 1j"
356955,6,t," Index 6",33,NULL,1,i_0020.jpg,4954,2,"toii char",imageBased,NULL,"toii char"
356956,7,t," Index 7",35,NULL,1,i_0021.jpg,4954,66,"toii char",imageBased,NULL,"toii char"
356957,8,t," Index 8",101,NULL,1,i_0054.jpg,4954,174,"poll bbquizl casa scheduler blackboard quizzes cha",imageBased,NULL,"poll bbquizl casa scheduler blackboard quizzes cha"
356958,9,i," Index 9",275,NULL,2,i_0141.jpg,4954,2,"bbquizl casa scheduler blackboard quizzes ii char pm",imageBased,NULL,"bbquizl casa scheduler blackboard quizzes ii char pm"
356959,10,t," Index 10",277,NULL,2,i_0142.jpg,4954,2,"who gives close polling los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl char who will win super bowl",imageBased,NULL,"who gives close polling los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl char who will win super bowl"
356960,11,t," Index 11",279,NULL,2,i_0143.jpg,4954,2,"los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl who gives who will win super1 aiii a0",imageBased,NULL,"los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl who gives who will win super1 aiii a0"
356961,12,t," Index 12",281,NULL,2,i_0144.jpg,4954,2,"the new england bradys new england patriots los angeles lakers los angeles dodgers whowill win super multiple choke los angeles rams whats super bowl channel who gives",imageBased,NULL,"the new england bradys new england patriots los angeles lakers los angeles dodgers whowill win super multiple choke los angeles rams whats super bowl channel who gives"
356962,13,t," Index 13",283,NULL,2,i_0145.jpg,4954,12,"who will win super bowl pm the new england bradys los angeles lakers new england patriots los angeles dodgers whats los angeles rams super bowl who gives ii responses ii",imageBased,NULL,"who will win super bowl pm the new england bradys los angeles lakers new england patriots los angeles dodgers whats los angeles rams super bowl who gives ii responses ii"
356963,14,t," Index 14",295,NULL,2,i_0151.jpg,4954,2,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who will win super bowl who gives responses al los an los an es rams",imageBased,NULL,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who will win super bowl who gives responses al los an los an es rams"
356964,15,t," Index 15",297,NULL,2,i_0152.jpg,4954,2,"los angeles lakers the new england bradys new england patriots who will win super les rams los angeles dodgers los ange whats super whogivesa multiple choice responses pm",imageBased,NULL,"los angeles lakers the new england bradys new england patriots who will win super les rams los angeles dodgers los ange whats super whogivesa multiple choice responses pm"
356965,16,t," Index 16",299,NULL,2,i_0153.jpg,4954,28,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who gives who will win super bowl multiple choice responses channel los an los an es rams",imageBased,NULL,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who gives who will win super bowl multiple choice responses channel los an los an es rams"
356966,17,t," Index 17",327,NULL,2,i_0167.jpg,4954,4,"los angeles lakers los an who gives who will win super ge ge los an les dodgers es rams whats super bowl",imageBased,NULL,"los angeles lakers los an who gives who will win super ge ge los an les dodgers es rams whats super bowl"
356967,18,t," Index 18",331,NULL,2,i_0169.jpg,4954,2,"los angeles lakers the new england bradys countdown timer new england patriots geles dodgers who wl bowl los ange es rams lb hid los an whats super bowl who gives responses",imageBased,NULL,"los angeles lakers the new england bradys countdown timer new england patriots geles dodgers who wl bowl los ange es rams lb hid los an whats super bowl who gives responses"
356968,19,t," Index 19",333,NULL,2,i_0170.jpg,4954,14,"los angeles lakers the new england bradys new england patriots los angeles dodgers los angeles rams whats super bowl who gives",imageBased,NULL,"los angeles lakers the new england bradys new england patriots los angeles dodgers los angeles rams whats super bowl who gives"
356969,20,t," Index 20",347,NULL,2,i_0177.jpg,4954,10,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who gives countdown timer bowl responses channel los an los an es rams",imageBased,NULL,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl who gives countdown timer bowl responses channel los an los an es rams"
356970,21,t," Index 21",357,NULL,2,i_0182.jpg,4954,4,"who will win super bowl responses los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl who gives channel",imageBased,NULL,"who will win super bowl responses los angeles lakers the new england bradys new england patriots los angeles dodgers losangeles rams whats super bowl who gives channel"
356971,22,t," Index 22",361,NULL,2,i_0184.jpg,4954,12,"33o flajf 2o 32o polling closed it responses if",imageBased,NULL,"33o flajf 2o 32o polling closed it responses if"
356972,23,t," Index 23",373,NULL,2,i_0190.jpg,4954,2,"zz polling closed it responses 4o powerpoint slide show lecture ii pm",imageBased,NULL,"zz polling closed it responses 4o powerpoint slide show lecture ii pm"
356973,24,t," Index 24",375,NULL,2,i_0191.jpg,4954,56,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl ives who will win super bowl channel los an los an es rams whog responses",imageBased,NULL,"los angeles lakers the new england bradys new england patriots geles dodgers ge whats super bowl ives who will win super bowl channel los an los an es rams whog responses"
356974,25,t," Index 25",431,NULL,2,i_0219.jpg,4954,2,"los angeles lakers the new england bradys new england los angeles dodgers los angeles rams whats super bc gives who will win super",imageBased,NULL,"los angeles lakers the new england bradys new england los angeles dodgers los angeles rams whats super bc gives who will win super"
356975,26,t," Index 26",433,NULL,2,i_0220.jpg,4954,2,"the new england bradys new england patriots75 geles dodgers whatsasuperbo gives whowill win super bowl los angeles lakers los an es rams",imageBased,NULL,"the new england bradys new england patriots75 geles dodgers whatsasuperbo gives whowill win super bowl los angeles lakers los an es rams"
356976,27,t," Index 27",435,NULL,2,i_0221.jpg,4954,2,"glucose 6carbon atp nadh glycolysis fermentation krebs cycle pyruvate oxidation electro tra glycolysis cellular respiration pyruvate nad fermentation small acids organic alcohols relectron chain proton pumping atpase atps formed pyruvate pyruvate 3carbon co2 nadh acetylcoa krebs cycle glucose pyruvate acetyl coa atp nadh fadh2 atp nadh fadh2",imageBased,NULL,"glucose 6carbon atp nadh glycolysis fermentation krebs cycle pyruvate oxidation electro tra glycolysis cellular respiration pyruvate nad fermentation small acids organic alcohols relectron chain proton pumping atpase atps formed pyruvate pyruvate 3carbon co2 nadh acetylcoa krebs cycle glucose pyruvate acetyl coa atp nadh fadh2 atp nadh fadh2"
